year,linea_propuesta,title,source,url,http_status,already_in_canonical
2025,"Inducción y control de personalidad","Persona-judge: Personalized Alignment of Large Language Models via Token-level Self-judgment",ACL Anthology,https://aclanthology.org/2025.acl-long.598/,200,no
2025,"Aplicaciones, sesgos y consecuencias sociales","How Personality Traits Shape LLM Risk-Taking Behaviour",ACL Anthology,https://aclanthology.org/2025.findings-naacl.68/,200,no
2025,"Inducción y control de personalidad","Enhancing Persona Consistency for LLMs’ Role-Playing using Persona-Aware Contrastive Learning",ACL Anthology,https://aclanthology.org/2025.acl-long.756/,200,no
2025,"Evaluación y validación psicométrica","Modeling, Evaluating, and Embodying Personality in LLMs: A Survey",ACL Anthology,https://aclanthology.org/2025.findings-acl.607/,200,no
2025,"Evaluación y validación psicométrica","Decoding Emergent Big Five Traits in Large Language Models: Temperature-Dependent Expression and Architectural Clustering",ACL Anthology,https://aclanthology.org/2025.findings-acl.240/,200,no
2025,"Inducción y control de personalidad","Character is Destiny: Can Persona-assigned Language Models Make Personal Choices?",ACL Anthology,https://aclanthology.org/2025.acl-long.724/,200,no
2025,"Evaluación y validación psicométrica","Automatic Scoring of an Open-Response Measure of Advanced Mind-Reading Using Large Language Models",ACL Anthology,https://aclanthology.org/2025.clpsych-1.7/,200,no
2025,"Aplicaciones, sesgos y consecuencias sociales","Beyond Demographics: Enhancing Cultural Value Survey Simulation with Multi-Stage Personality-Driven Cognitive Reasoning",ACL Anthology,https://aclanthology.org/2025.acl-srw.12/,200,no
2025,"Inducción y control de personalidad","Persona-DB: Efficient Large Language Model Personalization for Response Prediction with Collaborative Data Refinement",ACL Anthology,https://aclanthology.org/2025.acl-industry.32/,200,no
2026,"Evaluación y validación psicométrica","From Five Dimensions to Many: Large Language Models as Precise and Interpretable Psychological Profilers",OpenReview,https://openreview.net/forum?id=B3VJe4xAqc,200,no
2026,"Inducción y control de personalidad","Your Language Model Secretly Contains Personality Subnetworks",OpenReview,https://openreview.net/forum?id=YVCfQV5v8A,200,no
2026,"Evaluación y validación psicométrica","Can LLMs Discern the Traits Influencing Your Preferences? Evaluating Personality-Driven Preference Alignment in LLMs",arXiv,https://arxiv.org/abs/2602.07181,200,no
2026,"Aplicaciones, sesgos y consecuencias sociales","Can LLMs Truly Embody Human Personality? Analyzing AI and Human Behavior Alignment in Dispute Resolution",arXiv,https://arxiv.org/abs/2602.07414,200,no
2026,"Aplicaciones, sesgos y consecuencias sociales","AI-exhibited Personality Traits Can Shape Human Self-concept through Conversations",arXiv,https://arxiv.org/abs/2601.12727,200,no
2026,"Evaluación y validación psicométrica","Stable and Explainable Personality Trait Evaluation in Large Language Models with Internal Activations",arXiv,https://arxiv.org/abs/2601.09833,200,no
